gate,logic,A,B,k,tumour_coverage,worst_normal_leak,worst_group,vital_leak,vital_group,strict_leak,strict_group,regen_leak,pseudobulk_leak,bulk_trap_gap,not_arm_falsifiable,not_arm_detect,audited_vital,unaudited_vital,leak_is_upper_bound,verdict,selective,protein_copositivity_status,transcript_only,multiple_testing_control
SDC1 AND MET,AND,SDC1,MET,2,0.011,0.225,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.225,respiratory goblet cell@lung,0.056,0.034,-0.192,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND EPHB4,AND,CD74,EPHB4,2,0.012,0.227,lung microvascular endothelial cell@lung,0.015,skeletal_myocyte@bone marrow,0.227,lung microvascular endothelial cell@lung,0.019,0.012,-0.215,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND CLDN18,AND,ERBB3,CLDN18,2,0.004,0.23,goblet cell@adrenal gland,0.015,skeletal_myocyte@bone marrow,0.23,goblet cell@adrenal gland,0.001,0.02,-0.209,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND ROR1,AND,CD74,ROR1,2,0.004,0.231,large pre-B-II cell@kidney,0.062,skeletal_myocyte@brain,0.231,large pre-B-II cell@kidney,0.001,0.09,-0.141,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND MET,AND,ERBB3,MET,2,0.01,0.232,tracheobronchial goblet cell@lung,0.053,skeletal_myocyte@bone marrow,0.232,tracheobronchial goblet cell@lung,0.054,0.03,-0.202,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND CLDN6,AND,TACSTD2,CLDN6,2,0.001,0.232,respiratory epithelial cell@lung,0.015,skeletal_myocyte@bone marrow,0.232,respiratory epithelial cell@lung,0.001,0.013,-0.218,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND ERBB3,AND,SDC1,ERBB3,2,0.022,0.233,urothelial cell@kidney,0.015,skeletal_myocyte@bone marrow,0.233,urothelial cell@kidney,0.048,0.03,-0.203,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND MSLN,AND,ERBB3,MSLN,2,0.008,0.234,nasal mucosa goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.234,nasal mucosa goblet cell@lung,0.001,0.022,-0.212,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND ERBB3,AND,ERBB2,ERBB3,2,0.014,0.238,Schwann cell@lung,0.029,skeletal_myocyte@bone marrow,0.238,Schwann cell@lung,0.013,0.029,-0.209,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND NECTIN4,AND,CD74,NECTIN4,2,0.012,0.24,respiratory goblet cell@lung,0.015,pancreatic_islet@pancreas,0.24,respiratory goblet cell@lung,0.001,0.028,-0.213,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND CLDN6,AND,ERBB2,CLDN6,2,0.001,0.245,respiratory epithelial cell@lung,0.019,cardiomyocyte@heart,0.245,respiratory epithelial cell@lung,0.001,0.013,-0.231,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND CEACAM5,AND,ERBB2,CEACAM5,2,0.005,0.248,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.248,tracheobronchial goblet cell@lung,0.003,0.012,-0.237,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND NECTIN4,AND,TACSTD2,NECTIN4,2,0.014,0.25,respiratory goblet cell@lung,0.043,pancreatic_islet@pancreas,0.25,respiratory goblet cell@lung,0.001,0.028,-0.222,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND NECTIN4,AND,MUC1,NECTIN4,2,0.011,0.251,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.251,respiratory goblet cell@lung,0.001,0.028,-0.224,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND PROM1,AND,ERBB2,PROM1,2,0.005,0.254,deuterosomal cell@lung,0.015,skeletal_myocyte@bone marrow,0.254,deuterosomal cell@lung,0.001,0.028,-0.227,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND CDH1,AND,ITGB4,CDH1,2,0.016,0.264,papillary tips cell@kidney,0.015,skeletal_myocyte@bone marrow,0.264,papillary tips cell@kidney,0.001,0.017,-0.247,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
CD74 AND CLDN6,AND,CD74,CLDN6,2,0.001,0.27,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.27,epithelial cell of lung@lung,0.005,0.013,-0.257,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND MUC16,AND,SDC1,MUC16,2,0.004,0.274,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.274,respiratory goblet cell@lung,0.001,0.033,-0.242,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND MSLN,AND,SDC1,MSLN,2,0.011,0.276,nasal mucosa goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.276,nasal mucosa goblet cell@lung,0.001,0.022,-0.254,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND ROR1,AND,ERBB3,ROR1,2,0.001,0.276,Schwann cell precursor@lung,0.024,neuron@heart,0.276,Schwann cell precursor@lung,0.004,0.032,-0.244,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND CLDN18,AND,TACSTD2,CLDN18,2,0.012,0.278,type I pneumocyte@lung,0.015,skeletal_myocyte@bone marrow,0.278,type I pneumocyte@lung,0.003,0.02,-0.258,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND FOLR1,AND,ERBB2,FOLR1,2,0.008,0.293,respiratory goblet cell@lung,0.029,skeletal_myocyte@bone marrow,0.293,respiratory goblet cell@lung,0.001,0.029,-0.265,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
